Country,id,Score,Rank,regional average index score,AU regsubregion,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17
Algeria,DZ,65.76760213,3,62.26497401,North,99.79150634,50.46363896,77.55602728,77.51358014,59.3432485,63.55848947,47.96321261,52.3301889,39.41086227,91.55588862,66.61166694,71.80163296,94.2772371,43.11296469,66.79852782,66.02294803,49.93761553
Angola,AO,49.26149558,38,55.94273324,Southern,58.43602685,39.75799585,35.56845176,42.25200203,63.31006011,45.96170507,58.20716971,56.47247152,8.445873256,39.5290493,34.46758453,83.22558336,90.89123151,43.372129,72.87709624,40.46028022,24.21071448
Benin,BJ,51.52299216,29,52.6123559,West,31.67756795,48.12057205,46.68792154,39.14779023,48.56080252,46.63918157,42.07305662,68.76366628,15.61277142,18.10582238,39.44481396,95.70253163,97.34993441,34.43683177,84.71429481,61.08354996,57.76975757
Botswana,BW,61.6354237,8,55.94273324,Southern,85.02334308,44.77321218,57.13496652,81.85639449,64.19271467,60.58354422,49.87937386,63.77674752,43.29830857,0,82.52165673,63.40042548,71.50773111,55.79083723,78.13718335,71.47249902,74.45326493
Burkina Faso,BF,53.48156836,20,52.6123559,West,38.88278036,45.57087873,47.19955955,21.42043609,28.77463122,44.14834555,46.86208051,66.58039129,18.28144153,70.91375116,43.38749131,88.92841123,90.78713343,44.27088423,88.43663181,62.82470941,61.91710474
Burundi,BI,50.25050761,34,48.83643856,East,7.963246554,36.3591806,53.48255667,48.51321838,66.64797198,54.28710286,37.5,44.8227247,10.04534641,57.59719875,43.89870118,95.87543605,99.34606151,38.61819752,79.34124156,46.7320432,33.22840144
Cabo Verde,CM,64.07820207,5,52.6123559,West,58.07721511,47.68606958,73.87932109,67.61078406,66.93674409,69.14164207,63.11393132,68.63524183,41.69323153,18.28801111,81.00379634,91.79576005,89.87492052,40.43058829,54.70642593,81.41958043,75.03617179
Cameroon,CV,51.56890925,28,45.70234889,Central,43.15096978,47.98701881,42.69868099,57.99292671,55.35856989,52.5315436,64.86439263,67.13386573,24.68418875,21.59479286,29.79202344,85.96944658,97.90188575,35.61533613,69.78553552,45.43695831,34.17332171
Central African Republic,CF,36.70398645,51,45.70234889,Central,10.18376723,27.90137926,16.80290018,12.3143854,31.94948573,47.99260375,23.82898526,25.62680464,4.886094645,9.640640608,20.81629593,96.14328684,99.38374513,47.13963291,88.44966927,28.58064172,32.32745122
Chad,TD,38.73093638,50,45.70234889,Central,28.09639886,28.87363618,26.7097765,1.851851852,30.57373884,40.83885969,35.0375498,39.68866494,13.45290655,35.37675968,29.5795452,82.41730859,76.32415882,47.13963291,83.28379318,32.91898806,26.26234876
Comoros,KM,47.57021927,41,48.83643856,East,40.69730606,41.55931626,48.83214425,41.85873591,30.82444531,66.64316151,43.57824479,35.32174672,17.26651716,26.01158431,57.12815097,83.88688097,97.3889397,22.18378776,41.20347004,59.33936401,54.9699319
"Congo, Dem. Rep.",CG,41.62230014,48,45.70234889,Central,8.774326136,32.53043231,40.90984105,52.03840693,38.76674657,42.65658477,40.47855665,55.27785235,6.038263912,43.21704273,36.16650759,81.53985881,99.22461683,8.082812194,72.78697261,26.46700221,22.62327864
"Congo, Rep.",CD,48.66183874,39,45.70234889,Central,26.74172196,34.51328738,46.84133786,57.07445488,49.632835,38.32343746,45.04389903,46.04336739,16.65028143,14.68300887,43.44427278,81.56486359,95.19929653,44.32529562,88.87823198,46.45288821,51.83877856
Cote d'Ivoire,DJ,55.585128,17,52.6123559,West,51.52693896,53.785378,41.00512034,37.34336322,38.89101766,51.88762068,61.4998533,69.12776129,41.14679624,38.64369789,44.19941801,87.53850596,99.43286568,38.38143458,73.18993514,54.94550755,62.4019615
Djibouti,EG,49.67360365,36,48.83643856,East,66.73198846,34.82215008,48.93701247,21.15702342,42.01703439,41.53851517,23.79129774,59.72061164,34.97435608,31.61971831,52.91243039,98.095002,90.93730048,17.31389217,49.33096197,60.44990639,70.10206087
"Egypt, Arab Rep.",GQ,63.77523241,6,62.26497401,North,77.40654536,62.97583499,69.3006232,73.40480506,44.14648449,62.34362852,50.41191683,51.74574614,41.52946747,57.13483552,69.74007834,73.27071166,97.82621386,51.80270672,78.38695395,67.50543124,55.24696753
Equatorial Guinea,ER,43.38805294,46,45.70234889,Central,0,70.89709627,34.14398899,34.85161499,44.10049878,56.87751716,34.70812926,37.14693574,9.532737664,26.93019128,28.83669288,71.32354521,77.33970405,79.6498807,79.08344427,37.08189613,15.09302666
Eritrea,ET,43.3251864,47,48.83643856,East,41.81670769,20.93197056,52.70604306,28.23475724,36.4816906,39.83162486,36.603412,37.99040404,0.4470244585,39.46758729,57.63805915,77.00405442,99.14333512,34.89080199,61.63395877,33.42931354,38.27742396
Ethiopia,TF,53.21769276,21,48.83643856,East,58.87894035,41.42329894,49.05075256,27.50098358,54.45670644,39.43187704,58.70131531,70.95153652,18.89769882,56.16197183,45.42339243,85.65363894,95.71034579,38.61819752,66.82805469,49.69257049,47.31949568
Gabon,GM,59.37668206,11,45.70234889,Central,71.92717273,54.62801874,48.30544588,66.57529683,54.0388808,61.69240022,85.7162295,55.48915016,36.96019206,36.605709,40.51169259,71.85281018,94.66123093,68.48348195,83.45631081,58.27016825,20.2294044
"Gambia, The",GH,51.91245529,26,52.6123559,West,31.24275793,40.84148597,44.57123227,36.9042974,32.46779798,59.97307351,32.7529744,55.08944277,17.9523938,53.06576702,48.47987743,95.34279152,93.5278604,45.93666323,74.91310352,60.46651734,58.98370342
Ghana,GN,61.19270385,9,52.6123559,West,77.13335806,55.77436975,53.24798841,63.65355532,60.5609018,52.84678499,51.66268266,67.99366471,38.9065506,42.12954051,37.5021538,89.25975107,96.52192936,40.04946144,75.44378181,72.73767202,64.85181912
Guinea,GW,49.35823263,37,52.6123559,West,30.76067997,39.54296395,35.63490932,20.28102745,25.43547828,43.65172935,43.86407528,60.58919865,9.352547409,77.81283533,41.98359218,85.10303038,99.24453368,57.19615129,72.68650277,48.17516576,47.7755336
Guinea-Bissau,CI,45.48446953,45,52.6123559,West,15.53085474,48.12026985,39.77343372,17.08176647,45.02790771,41.77197057,33.11857005,68.47157233,7.595766123,13.986516,34.09494531,98.63023928,97.95038189,53.60721284,65.53634605,35.61154257,57.32668655
Kenya,KE,56.55249598,15,48.83643856,East,52.25471625,50.91656966,56.43810574,62.81899663,65.19540476,43.90215493,51.97489928,70.69441084,29.38763757,18.14325998,46.62014625,97.18549398,94.78505238,47.32902926,64.43000979,54.74058673,54.57595769
Lesotho,LS,50.90714142,32,55.94273324,Southern,21.04847515,49.47447207,35.82368771,51.35107586,68.61529955,58.12277459,37.36428553,57.62455439,22.28824028,0.1725435257,50.65313653,95.45653175,66.16200796,55.79083723,62.13053496,49.93475519,83.4081919
Liberia,LR,48.03062153,40,52.6123559,West,33.03389792,40.2706941,44.55628087,14.21641755,44.53830217,48.01092624,32.67824575,54.60915011,9.382224191,79.12213863,21.7352083,83.01903167,99.31417146,60.36413369,55.31640478,53.93204171,42.42129686
Libya,LY,0,0,0,North,,,,,,,,,,,,,,,,,
Madagascar,MG,45.56608514,44,45.70234889,Central,2.691845636,25.07746953,38.18465168,40.11920278,64.90236149,38.73031788,30.77461468,65.13504318,9.418245336,27.39338519,46.83727825,80.49572993,96.87441021,46.68099086,49.12294173,51.89472305,60.29023592
Malawi,MW,52.31998799,25,55.94273324,Southern,29.35246961,45.55562553,49.99358908,26.56160071,58.48449856,56.48698963,37.58126638,61.12668438,14.64074185,22.11661429,47.96188556,96.60761992,89.34963535,55.79083723,74.70244667,57.0839172,66.04337384
Mali,ML,51.74918991,27,52.6123559,West,38.4656958,47.57834436,34.44851824,10.90881413,35.00051474,56.00527587,39.49589395,65.1902553,20.90788114,75.10425537,44.29777957,83.7744436,99.24271629,44.27088423,76.46410128,53.57592189,55.00493278
Mauritania,MR,51.28942268,31,62.26497401,North,69.11355653,41.68451334,43.84988838,28.28699314,37.41860595,54.30147093,44.60566853,35.82936678,21.50222937,82.1450989,27.92781843,82.27016724,73.21576798,50.90847862,65.84729243,44.76518086,68.24808806
