Country,code,region,sdg1,sdg2,sdg3,sdg4,sdg5,sdg6,sdg7,sdg8,sdg9,sdg10,sdg11,sdg12,sdg13,sdg14,sdg15,sdg16,sdg17
Algeria,dz,North,yellow,orange,orange,yellow,red,orange,orange,orange,orange,yellow,orange,orange,yellow,red,yellow,orange,orange
Angola,ao,Southern,red,red,red,orange,orange,red,orange,red,red,gray,red,orange,orange,red,orange,red,red
Benin,bj,West,red,orange,red,red,red,orange,red,orange,red,orange,red,orange,yellow,red,orange,red,orange
Botswana,bw,Southern,orange,red,red,yellow,red,orange,red,orange,orange,red,yellow,red,orange,gray,orange,red,orange
Burkina Faso,bf,West,red,red,red,red,red,orange,red,orange,red,yellow,orange,orange,yellow,gray,yellow,orange,orange
Burundi,bi,East,red,red,red,orange,orange,orange,red,red,red,yellow,red,orange,yellow,gray,green,red,red
Cabo Verde,cm,West,orange,orange,red,orange,orange,yellow,orange,orange,red,orange,orange,yellow,yellow,red,orange,orange,orange
Cameroon,cv,Central,red,orange,red,orange,orange,orange,red,orange,red,orange,orange,orange,yellow,red,orange,red,orange
Central African Republic,cf,Central,red,red,red,red,red,orange,red,red,red,orange,red,orange,yellow,gray,yellow,red,red
Chad,td,Central,red,red,red,red,red,red,red,red,red,yellow,red,orange,yellow,gray,yellow,red,red
Comoros,km,East,red,orange,red,orange,red,orange,orange,red,red,yellow,orange,orange,green,red,orange,red,orange
"Congo, Dem. Rep.",cg,Central,red,red,red,orange,red,red,red,red,red,yellow,red,orange,green,red,orange,red,red
"Congo, Rep.",cd,Central,red,red,red,orange,orange,yellow,red,red,red,orange,orange,orange,yellow,red,yellow,red,orange
Cote d'Ivoire,dj,West,orange,orange,red,red,red,orange,red,orange,orange,orange,orange,orange,yellow,red,yellow,red,orange
Djibouti,eg,East,orange,red,red,red,red,orange,red,orange,red,gray,orange,orange,orange,red,orange,red,orange
"Egypt, Arab Rep.",gq,North,yellow,red,red,yellow,red,orange,yellow,orange,orange,orange,orange,orange,yellow,orange,yellow,red,orange
Equatorial Guinea,er,Central,gray,yellow,red,red,red,orange,red,red,red,gray,red,red,gray,orange,orange,red,red
Eritrea,et,East,red,red,red,red,red,red,red,orange,red,gray,orange,red,yellow,red,orange,red,red
Ethiopia,tf,East,orange,red,red,red,red,orange,red,orange,red,gray,red,orange,yellow,gray,yellow,red,red
Gabon,gm,Central,yellow,orange,red,yellow,orange,orange,yellow,orange,orange,orange,red,red,yellow,orange,green,red,red
"Gambia, The",gh,West,red,red,red,red,red,orange,red,orange,red,orange,orange,green,yellow,red,yellow,red,orange
Ghana,gn,West,yellow,orange,red,orange,orange,orange,orange,yellow,red,yellow,orange,orange,yellow,red,yellow,orange,orange
Guinea,gw,West,red,red,red,red,red,orange,red,orange,red,yellow,orange,orange,green,red,orange,red,orange
Guinea-Bissau,ci,West,red,red,red,red,red,orange,red,red,red,orange,red,orange,yellow,red,orange,red,orange
Kenya,ke,East,orange,red,red,orange,orange,orange,red,yellow,red,orange,orange,orange,yellow,red,yellow,red,orange
Lesotho,ls,Southern,red,red,red,orange,orange,orange,red,orange,red,red,orange,orange,orange,gray,yellow,red,orange
Liberia,lr,West,red,red,red,red,red,orange,red,red,red,yellow,red,orange,yellow,red,orange,red,orange
Libya,ly,North,orange,red,orange,gray,orange,orange,orange,orange,red,gray,orange,red,orange,red,orange,red,red
Madagascar,mg,Central,red,red,red,orange,orange,orange,red,red,red,orange,orange,red,yellow,orange,yellow,red,red
Malawi,mw,Southern,red,red,red,orange,orange,orange,red,red,red,orange,orange,orange,orange,gray,orange,red,orange
Mali,ml,West,red,red,red,red,red,orange,red,orange,red,yellow,orange,orange,yellow,gray,orange,red,orange
Mauritania,mr,North,orange,orange,red,red,red,orange,red,red,red,yellow,red,orange,yellow,red,yellow,red,orange
Mauritius,mu,Southern,yellow,yellow,yellow,yellow,red,orange,orange,yellow,orange,orange,yellow,red,orange,red,red,yellow,yellow
Morocco,ma,North,yellow,orange,orange,orange,red,yellow,orange,orange,orange,yellow,orange,orange,yellow,orange,yellow,orange,orange
Mozambique,mz,Southern,red,red,red,red,red,red,red,orange,red,yellow,orange,orange,orange,orange,orange,red,yellow
Namibia,na,Southern,red,red,red,orange,yellow,orange,red,orange,red,red,orange,red,orange,red,orange,orange,orange
Niger,ne,West,red,red,red,red,red,orange,red,orange,red,yellow,red,orange,orange,gray,yellow,red,orange
Nigeria,ng,West,red,red,red,orange,red,yellow,red,red,red,orange,red,orange,yellow,red,orange,red,red
Rwanda,rw,East,orange,red,red,orange,yellow,orange,red,orange,red,orange,orange,orange,yellow,gray,yellow,red,orange
Sao Tome and Principe,st,Southern,red,orange,red,orange,orange,orange,orange,orange,orange,gray,orange,green,yellow,red,orange,orange,orange
Senegal,sn,West,red,orange,red,red,red,yellow,red,orange,red,yellow,orange,orange,yellow,red,orange,red,yellow
Seychelles,sc,East,yellow,yellow,orange,yellow,gray,orange,orange,gray,red,gray,gray,red,red,orange,red,yellow,orange
Sierra Leone,sl,West,red,red,red,red,red,orange,red,orange,red,yellow,red,orange,yellow,red,green,red,red
Somalia,so,East,red,red,red,gray,red,red,red,red,red,gray,orange,gray,yellow,red,red,red,gray
